City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,72.81,70,39,6.8,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,42.46,56,100,17.27,overcast clouds
2,Alizai,PK,33.5383,70.3462,90.88,21,65,16.93,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,77.54,74,87,15.17,overcast clouds
4,Shizunai,JP,42.3339,142.3669,45.45,77,77,13.13,broken clouds
5,Sola,VU,-13.8833,167.55,75.87,100,20,0.0,few clouds
6,Chuy,UY,-33.6971,-53.4616,55.0,74,33,7.81,scattered clouds
7,Bluff,NZ,-46.6,168.3333,53.8,83,43,6.96,scattered clouds
8,Hasaki,JP,35.7333,140.8333,57.29,58,6,10.65,clear sky
9,Airai,TL,-8.9266,125.4092,62.01,87,67,2.84,broken clouds
10,Georgetown,MY,5.4112,100.3354,87.75,70,20,5.75,moderate rain
11,Tiksi,RU,71.6872,128.8694,18.81,87,100,3.65,overcast clouds
12,Hobart,AU,-42.8794,147.3294,64.26,56,100,12.66,overcast clouds
13,Kodiak,US,57.79,-152.4072,42.31,87,100,6.91,light rain
14,Bardiyah,LY,31.7561,25.0865,67.3,66,49,23.71,scattered clouds
15,Ossora,RU,59.2353,163.0719,24.4,97,17,3.27,few clouds
16,Eureka,US,40.8021,-124.1637,49.93,80,22,4.0,few clouds
17,Albany,US,42.6001,-73.9662,49.37,90,100,2.48,overcast clouds
18,Avera,US,33.194,-82.5271,66.54,90,100,5.03,overcast clouds
19,Bengkulu,ID,-3.8004,102.2655,81.52,83,73,4.5,light rain
20,Sijunjung,ID,-0.6876,100.9537,84.51,69,100,2.64,light rain
21,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,93,100,21.85,overcast clouds
22,Gemena,CD,3.25,19.7667,93.67,38,60,4.72,broken clouds
23,Auki,SB,-8.7676,160.7034,78.44,83,81,3.62,light rain
24,Ergolding,DE,48.5833,12.1667,68.0,63,16,1.99,few clouds
25,Yerbogachen,RU,61.2767,108.0108,34.39,99,100,5.68,snow
26,Bambous Virieux,MU,-20.3428,57.7575,83.21,78,40,11.5,scattered clouds
27,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.44,94,91,0.65,overcast clouds
28,Longyearbyen,SJ,78.2186,15.6401,12.04,67,75,5.75,light shower snow
29,Cartagena,CO,10.3997,-75.5144,80.22,94,75,3.44,haze
30,Nikolskoye,RU,59.7035,30.7861,48.78,39,8,15.7,clear sky
31,Victoria,HK,22.2855,114.1577,78.96,57,86,5.99,overcast clouds
32,Pisco,PE,-13.7,-76.2167,61.02,91,30,2.68,scattered clouds
33,Svetlogorsk,BY,52.6333,29.7333,61.18,56,57,12.75,broken clouds
34,Klaksvik,FO,62.2266,-6.589,41.92,84,100,27.49,overcast clouds
35,Provideniya,RU,64.3833,-173.3,22.39,66,59,4.7,broken clouds
36,Yeppoon,AU,-23.1333,150.7333,73.18,83,6,12.93,clear sky
37,Aki,JP,33.5,133.9,62.55,73,0,2.21,clear sky
38,Southbridge,US,42.0751,-72.0334,46.92,96,100,3.0,overcast clouds
39,Kloulklubed,PW,7.0419,134.2556,81.1,76,69,13.56,moderate rain
40,New Norfolk,AU,-42.7826,147.0587,63.91,49,100,1.99,overcast clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,70.05,93,16,5.39,few clouds
42,Fairmont,US,39.4851,-80.1426,54.52,86,100,3.04,overcast clouds
43,Najran,SA,17.4924,44.1277,95.65,10,1,7.45,clear sky
44,Esperance,AU,-33.8667,121.9,55.24,67,100,17.43,light rain
45,Maumere,ID,-8.6199,122.2111,82.8,74,76,5.95,broken clouds
46,Busselton,AU,-33.65,115.3333,59.68,67,77,12.57,broken clouds
47,Bethel,US,41.3712,-73.414,49.95,91,92,3.11,overcast clouds
48,Aswan,EG,24.0934,32.907,103.3,14,0,8.05,clear sky
49,Luwuk,ID,-0.9516,122.7875,80.58,88,71,2.28,broken clouds
50,Dakar,SN,14.6937,-17.4441,74.28,94,75,9.22,broken clouds
51,Brae,GB,60.3964,-1.353,44.02,56,98,6.87,overcast clouds
52,Yenagoa,NG,4.9247,6.2642,88.54,57,89,4.83,overcast clouds
53,Nanzhou,CN,29.3596,112.4024,76.12,51,97,4.52,overcast clouds
54,Taksimo,RU,56.3444,114.8794,36.34,87,98,3.62,overcast clouds
55,Yelatma,RU,54.9675,41.7508,57.9,66,91,15.84,overcast clouds
56,Punta Arenas,CL,-53.15,-70.9167,41.11,93,75,12.66,light rain
57,Dumas,US,35.8656,-101.9732,37.62,87,100,16.11,overcast clouds
58,Anadyr,RU,64.75,177.4833,21.7,93,0,8.95,clear sky
59,Barrow,US,71.2906,-156.7887,21.22,93,100,8.05,overcast clouds
60,Altay,CN,47.8667,88.1167,61.11,66,100,7.61,light rain
61,Mahibadhoo,MV,3.7833,72.9667,83.89,79,100,14.32,overcast clouds
62,Qujing,CN,25.4833,103.7833,56.46,59,100,3.83,overcast clouds
63,Roblin,CA,51.23,-101.3565,29.41,92,46,8.97,scattered clouds
64,Cidreira,BR,-30.1811,-50.2056,64.33,93,100,14.52,overcast clouds
65,Poronaysk,RU,49.2167,143.1167,33.24,99,100,9.62,light snow
66,Ponta Do Sol,PT,32.6667,-17.1,70.72,64,1,3.56,clear sky
67,Mount Isa,AU,-20.7333,139.5,82.17,42,100,6.91,overcast clouds
68,Khorixas,NA,-20.3667,14.9667,84.02,22,0,19.04,clear sky
69,La Palma,US,33.8464,-118.0467,62.49,87,100,5.75,overcast clouds
70,Port Alfred,ZA,-33.5906,26.891,77.18,52,6,1.99,clear sky
71,Saint-Philippe,RE,-21.3585,55.7679,81.99,80,29,11.54,light rain
72,Port Elizabeth,ZA,-33.918,25.5701,84.09,31,0,11.5,clear sky
73,Butaritari,KI,3.0707,172.7902,82.13,76,39,14.79,scattered clouds
74,Ozinki,RU,51.1786,49.6769,57.4,29,7,2.93,clear sky
75,Marasesti,RO,45.8833,27.2333,62.62,39,100,8.66,overcast clouds
76,Tuatapere,NZ,-46.1333,167.6833,52.66,89,54,4.27,broken clouds
77,Hithadhoo,MV,-0.6,73.0833,82.38,79,100,19.77,overcast clouds
78,Hami,CN,42.8,93.45,86.2,7,4,7.92,clear sky
79,Talnakh,RU,69.4865,88.3972,20.21,80,66,2.93,broken clouds
80,Nanortalik,GL,60.1432,-45.2371,33.91,87,95,3.71,overcast clouds
81,Caravelas,BR,-17.7125,-39.2481,73.22,85,21,3.98,few clouds
82,Ribeira Grande,PT,38.5167,-28.7,63.0,77,75,11.5,broken clouds
83,Dawei,MM,14.0833,98.2,81.66,57,86,11.36,overcast clouds
84,Kibala,TD,9.1104,18.3463,99.14,29,90,6.69,overcast clouds
85,Penzance,GB,50.1186,-5.5371,56.08,82,20,9.22,few clouds
86,Tabuk,PH,17.4189,121.4443,79.77,82,99,0.72,overcast clouds
87,Namatanai,PG,-3.6667,152.4333,80.85,80,45,5.79,light rain
88,Yumen,CN,40.2833,97.2,80.13,5,31,22.26,scattered clouds
89,Thompson,CA,55.7435,-97.8558,24.96,74,100,4.61,overcast clouds
90,Port Blair,IN,11.6667,92.75,89.64,66,40,8.05,scattered clouds
91,Deputatskiy,RU,69.3,139.9,24.96,96,100,3.31,overcast clouds
92,Tucurui,BR,-3.7661,-49.6725,73.22,98,95,0.89,overcast clouds
93,Cherskiy,RU,68.75,161.3,21.47,95,32,3.47,scattered clouds
94,Vallenar,CL,-28.5708,-70.7581,57.96,50,0,1.43,clear sky
95,Qaanaaq,GL,77.484,-69.3632,9.77,64,29,6.62,scattered clouds
96,Biak,ID,-0.9131,122.8766,79.57,83,55,2.57,broken clouds
97,Ahuimanu,US,21.4447,-157.8378,74.91,78,100,14.97,overcast clouds
98,Geraldton,AU,-28.7667,114.6,70.21,73,0,20.71,clear sky
99,Mlonggo,ID,-6.5333,110.7,83.66,76,100,8.93,overcast clouds
100,Horki,BY,54.2861,30.9842,56.57,57,49,14.97,scattered clouds
101,Pandamatenga,BW,-18.5278,25.627,74.95,41,0,7.2,clear sky
102,Beringovskiy,RU,63.05,179.3167,11.5,93,15,7.05,few clouds
103,Vaini,TO,-21.2,-175.2,75.36,78,40,11.5,scattered clouds
104,Khandyga,RU,62.6667,135.6,32.16,98,100,1.34,light snow
105,Lorengau,PG,-2.0226,147.2712,81.91,77,93,2.26,moderate rain
106,Lavrentiya,RU,65.5833,-171.0,4.17,93,18,5.23,few clouds
107,Hofn,IS,64.2539,-15.2082,42.66,88,100,11.34,overcast clouds
108,Tempio Pausania,IT,40.8974,9.1035,63.52,37,100,3.38,overcast clouds
109,Gorontalo,ID,0.5412,123.0595,78.93,92,95,2.04,overcast clouds
110,Perevoz,RU,55.5961,44.5446,55.85,66,84,15.97,broken clouds
111,Grindavik,IS,63.8424,-22.4338,45.07,93,100,16.11,light rain
112,Manggar,ID,-2.8833,108.2667,84.25,74,100,3.36,overcast clouds
113,Makakilo City,US,21.3469,-158.0858,73.72,73,0,14.97,clear sky
114,Sao Filipe,CV,14.8961,-24.4956,72.86,75,9,6.22,clear sky
115,Kilembe,UG,0.2,30.0,75.02,55,19,5.26,light rain
116,Jamestown,US,42.097,-79.2353,44.24,95,0,3.44,mist
117,Camopi,GF,3.1655,-52.3158,72.63,100,100,0.83,light rain
118,Sinnamary,GF,5.3833,-52.95,74.8,95,100,5.08,overcast clouds
119,Mackay,AU,-21.15,149.2,73.38,83,4,6.91,clear sky
120,Dukat,RU,62.55,155.55,17.22,96,45,3.67,scattered clouds
121,Yellowknife,CA,62.456,-114.3525,32.56,64,20,13.8,few clouds
122,Myitkyina,MM,25.3833,97.4,90.61,40,54,5.84,broken clouds
123,Mataura,NZ,-46.1927,168.8643,52.48,84,27,2.51,scattered clouds
124,Leningradskiy,RU,69.3833,178.4167,4.98,99,49,6.33,scattered clouds
125,Adrar,MR,20.5022,-10.0711,89.96,11,68,6.26,broken clouds
126,Souillac,MU,-20.5167,57.5167,80.98,78,40,11.5,scattered clouds
127,Kota Kinabalu,MY,5.9749,116.0724,88.88,74,20,5.01,few clouds
128,Atuona,PF,-9.8,-139.0333,79.2,80,12,18.48,few clouds
129,Oneida,US,43.2001,-75.4663,50.14,98,100,3.44,overcast clouds
130,Takoradi,GH,4.8845,-1.7554,85.15,67,92,4.18,overcast clouds
131,Cape Town,ZA,-33.9258,18.4232,78.12,67,20,10.0,few clouds
132,Horta,PT,38.5333,-28.6333,62.24,77,75,11.5,broken clouds
133,Cuenca,EC,-2.8833,-78.9833,55.53,100,100,3.44,overcast clouds
134,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,82,75,8.93,broken clouds
135,Pangnirtung,CA,66.1451,-65.7125,10.69,88,97,4.05,overcast clouds
136,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.87,85,88,7.0,overcast clouds
137,Iqaluit,CA,63.7506,-68.5145,4.73,72,20,11.5,few clouds
138,Kingsport,US,36.5484,-82.5618,61.14,89,20,4.0,few clouds
139,Abu Samrah,SY,35.3029,37.1841,84.85,20,59,9.06,broken clouds
140,Zhigansk,RU,66.7697,123.3711,26.76,78,2,4.74,clear sky
141,Kentau,KZ,43.5206,68.5094,76.05,49,99,14.47,light rain
142,Bathsheba,BB,13.2167,-59.5167,75.81,94,75,25.32,broken clouds
143,Skjervoy,NO,70.0311,20.9714,30.2,50,100,15.28,light snow
144,Cabo San Lucas,MX,22.8909,-109.9124,62.51,70,85,14.99,overcast clouds
145,Beaverton,US,45.4871,-122.8037,49.39,90,40,4.61,scattered clouds
146,Soe,ID,-9.8607,124.284,68.34,83,11,5.1,few clouds
147,San Rafael,AR,-34.6177,-68.3301,47.12,51,0,5.23,clear sky
148,Hualmay,PE,-11.0964,-77.6139,63.82,89,92,5.68,overcast clouds
149,Carnarvon,AU,-24.8667,113.6333,75.27,69,0,13.8,clear sky
150,San Cristobal,VE,7.7669,-72.225,64.33,83,34,4.7,scattered clouds
151,Narsaq,GL,60.9167,-46.05,37.62,81,89,1.12,overcast clouds
152,Alakurtti,RU,66.9672,30.3491,31.33,79,100,18.86,overcast clouds
153,Pitimbu,BR,-7.4706,-34.8086,75.79,84,84,10.54,broken clouds
154,El Retorno,CO,2.3302,-72.6276,69.98,99,20,2.13,few clouds
155,Lyuban,BY,52.7985,28.0048,60.82,55,35,13.18,scattered clouds
156,Kaitangata,NZ,-46.2817,169.8464,51.58,78,18,3.85,few clouds
157,Ban Nahin,LA,18.2418,104.2122,79.45,44,88,3.62,overcast clouds
158,Castro,BR,-24.7911,-50.0119,59.2,93,34,2.68,scattered clouds
159,Saskylakh,RU,71.9167,114.0833,25.0,88,26,5.46,scattered clouds
160,Flinders,AU,-34.5833,150.8552,66.38,79,0,5.01,clear sky
161,Morro Bay,US,35.3658,-120.8499,50.18,82,4,7.16,clear sky
162,Ibra,OM,22.6906,58.5334,107.42,6,0,23.13,clear sky
163,Hilo,US,19.7297,-155.09,72.28,97,100,5.75,moderate rain
164,Kruisfontein,ZA,-34.0033,24.7314,81.88,26,92,10.33,overcast clouds
165,Bredasdorp,ZA,-34.5322,20.0403,72.37,60,81,5.03,broken clouds
166,San Luis,AR,-33.295,-66.3356,42.87,69,0,3.94,clear sky
167,Ghanzi,BW,-21.5667,21.7833,72.54,28,0,10.8,clear sky
168,Avarua,CK,-21.2078,-159.775,78.85,94,75,17.27,broken clouds
169,Macau,MO,22.2006,113.5461,78.6,60,0,5.75,clear sky
170,Luderitz,NA,-26.6481,15.1594,81.12,38,48,9.13,scattered clouds
171,Tasiilaq,GL,65.6145,-37.6368,22.05,90,100,5.28,overcast clouds
172,Shache,CN,38.4167,77.2406,85.3,9,31,6.51,scattered clouds
173,Upernavik,GL,72.7868,-56.1549,1.94,83,46,4.45,scattered clouds
174,Dzaoudzi,YT,-12.7887,45.2699,87.69,66,20,10.36,few clouds
175,Batagay-Alyta,RU,67.8006,130.4114,19.35,91,100,3.56,overcast clouds
176,Krasnoselkup,RU,65.7,82.4667,30.24,75,25,13.27,scattered clouds
177,Ladushkin,RU,54.5703,20.171,49.86,80,99,13.58,overcast clouds
178,Acarau,BR,-2.8856,-40.12,77.18,89,96,10.6,overcast clouds
179,Praia,CV,14.9215,-23.5087,73.08,72,77,12.26,broken clouds
180,Marsaxlokk,MT,35.8419,14.5431,65.01,68,20,4.61,few clouds
181,Knysna,ZA,-34.0363,23.0471,72.09,59,100,8.52,overcast clouds
182,Rognan,NO,67.0953,15.3878,38.75,70,100,15.35,light rain
183,Omboue,GA,-1.5746,9.2618,85.66,68,97,4.94,overcast clouds
184,Mount Gambier,AU,-37.8333,140.7667,60.71,67,14,10.36,few clouds
185,Oussouye,SN,12.485,-16.5469,73.58,41,41,5.64,scattered clouds
186,Ryotsu,JP,38.0833,138.4333,49.87,75,3,5.66,clear sky
187,Lebu,CL,-37.6167,-73.65,49.21,80,1,13.91,clear sky
188,Siva,EG,29.2041,25.5195,79.21,35,39,16.31,scattered clouds
189,Balta,UA,47.9355,29.6198,64.04,41,62,7.63,broken clouds
190,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,94,20,3.44,mist
191,Haines Junction,CA,60.7522,-137.5108,30.15,80,92,2.3,overcast clouds
192,Tuktoyaktuk,CA,69.4541,-133.0374,34.03,92,100,3.89,overcast clouds
193,Nouadhibou,MR,20.931,-17.0347,71.58,64,46,19.57,scattered clouds
194,Torbay,CA,47.6666,-52.7314,39.27,95,100,14.97,overcast clouds
195,Tazovskiy,RU,67.4667,78.7,24.26,85,96,11.97,overcast clouds
196,Santa Maria,BR,-29.6842,-53.8069,56.5,100,75,2.3,light rain
197,Teahupoo,PF,-17.8333,-149.2667,75.16,74,83,8.95,broken clouds
198,Korla,CN,41.7597,86.1469,85.37,9,0,15.39,clear sky
199,Nikki,BJ,9.9401,3.2108,93.18,39,100,5.06,overcast clouds
200,Eirunepe,BR,-6.6603,-69.8736,71.29,99,100,2.35,overcast clouds
201,Saint George,US,37.1041,-113.5841,72.19,23,0,20.71,clear sky
202,Qingdao,CN,36.0986,120.3719,67.6,64,0,20.13,clear sky
203,Kapaa,US,22.0752,-159.319,75.52,93,75,19.57,moderate rain
204,Dikson,RU,73.5069,80.5464,19.87,80,100,6.71,overcast clouds
205,Alyangula,AU,-13.8483,136.4192,82.27,78,23,3.44,few clouds
206,Faanui,PF,-16.4833,-151.75,81.39,75,74,10.54,light rain
207,Aksha,RU,50.2814,113.2867,75.83,18,98,11.16,overcast clouds
208,Marawi,PH,7.9986,124.2928,71.56,97,100,1.45,overcast clouds
209,Kaeo,NZ,-35.1,173.7833,56.32,92,95,7.9,overcast clouds
210,Kurush,RU,41.2841,47.8345,37.22,90,97,4.83,light rain
211,Melfort,CA,52.8667,-104.6177,39.33,75,97,17.27,overcast clouds
212,Quatre Cocos,MU,-20.2078,57.7625,82.09,76,33,13.98,scattered clouds
213,Itaituba,BR,-4.2761,-55.9836,71.44,99,100,0.31,overcast clouds
214,Carmen,MX,18.6333,-91.8333,79.56,77,0,17.27,clear sky
215,Kaele,CM,10.1092,14.4508,95.56,31,44,12.73,scattered clouds
216,Sitka,US,57.0531,-135.33,44.49,70,100,25.32,light rain
217,Batemans Bay,AU,-35.7167,150.1833,64.09,82,0,6.55,clear sky
218,Labuhan,ID,-6.8844,112.2051,83.7,79,33,8.25,scattered clouds
219,Les Cayes,HT,18.2,-73.75,74.53,80,15,3.11,few clouds
220,Kualakapuas,ID,-3.0091,114.3876,79.36,91,100,3.58,overcast clouds
221,Genhe,CN,50.7833,121.5167,55.04,37,100,2.93,overcast clouds
222,Vostok,RU,46.4856,135.8833,40.19,92,100,3.24,light rain
223,Kardla,EE,58.9978,22.7492,44.06,55,7,20.0,clear sky
224,Christchurch,NZ,-43.5333,172.6333,57.94,92,100,3.44,fog
225,Shimoda,JP,34.6667,138.95,54.1,72,9,5.41,clear sky
226,Bollnas,SE,61.3482,16.3946,44.71,28,64,13.65,broken clouds
227,Mogadouro,PT,41.3403,-6.7119,53.04,60,72,15.88,broken clouds
228,Meulaboh,ID,4.1363,96.1285,75.6,94,100,1.23,overcast clouds
229,Del Rio,US,29.3627,-100.8968,73.8,87,0,8.05,clear sky
230,Yar-Sale,RU,66.8333,70.8333,31.15,79,71,14.7,broken clouds
231,Mandalgovi,MN,45.7625,106.2708,70.86,9,100,16.73,overcast clouds
232,Tukrah,LY,32.5341,20.5791,66.47,65,25,11.74,scattered clouds
233,Turan,VN,16.0678,108.2208,75.18,69,75,4.61,broken clouds
234,Chapais,CA,49.7834,-74.8492,42.58,97,100,4.76,overcast clouds
235,Turayf,SA,31.6725,38.6637,89.85,19,75,23.02,broken clouds
236,Nuuk,GL,64.1835,-51.7216,29.88,86,100,23.0,overcast clouds
237,Mounana,GA,-1.4085,13.1586,76.91,54,54,1.72,broken clouds
